,orig_pr_group,pr_group,orig_ref_pattern,ref_pattern,prod_file,test_location,comment,fauthor_comment,url,title_mask,java_files_count,Unnamed: 11,Additions,Deletions,Additions.1,Deletions.1
0,only_ref_for_test,only_ref_for_test,extract_class_for_override,extract_class_for_override,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R68,Code from shutdownAndAwaitTermination extracted into ExecutorServiceUtils::gracefulShutdown and ExecutorServiceUtils class mocked in a unit-test,,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,Refactor for test,4,Example,76.0,25.0,107.0,2.0
1,only_ref_for_test,only_ref_for_test,widen_access_for_invocation,widen_access_for_invocation,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R74,getExecutorService made public to verify from junit,,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,,,Example 2nd refactoring in the same PR,,,,
2,irrelevant,irrelevant,,,,,"Adds different test logging output format, does not directly increase testability",,https://github.com/jenkinsci/email-ext-plugin/pull/207/files?diff=split&w=1,test,2,,148.0,67.0,94.0,2.0
3,irrelevant,irrelevant,irrelevant,irrelevant,,,"Allows overwriting dependencies, but does not seem to be for testability",,https://github.com/GoogleContainerTools/jib/pull/780/files?diff=split&w=1,Dependency,3,,3.0,3.0,4.0,4.0
4,irrelevant,irrelevant,,,,,Dependency updates,,https://github.com/apache/zeppelin/pull/2199/files?diff=split&w=1,Dependency,2,,6.0,6.0,8.0,8.0
5,irrelevant,incl_ref_for_test,,extract_method_for_override,,,"Setter instead of constructor param, but not used differently in tests",incl_ref_for_test/extract_method_for_override setSensorContext extensively used in junits,https://github.com/SonarSource/sonar-java/pull/884/files?diff=split&w=1,Inject,6,,13.0,6.0,22.0,13.0
6,irrelevant,irrelevant,,,,,Only internal refactorings in prod,,https://github.com/apache/tika/pull/150/files?diff=split&w=1,Refactor for test,2,,15.0,10.0,147.0,70.0
7,irrelevant,irrelevant,,,,,Only added functionality,,https://github.com/ISISComputingGroup/ibex_gui/pull/608/files?diff=split&w=1,testability_body,7,,252.0,52.0,56.0,0.0
8,irrelevant,irrelevant,,,,,Only added assertions in prod,,https://github.com/apache/opennlp/pull/165/files?diff=split&w=1,test,2,,7.0,5.0,67.0,0.0
9,incl_ref_for_test,incl_ref_for_test,extract_class_for_override,extract_class_for_override,logback-core/src/main/java/ch/qos/logback/core/net/QueueFactory.java,https://github.com/qos-ch/logback/pull/193/files?diff=split&w=1#diff-3bb5b7206db15d459f0ac8dd15658ca3608e2816927d21049c0f6bb624386653R64,Extract two methods to factory classes for overwriting: ObjectWriterFactory and QueueFactory,,https://github.com/qos-ch/logback/pull/193/files?diff=split&w=1,testability_body,8,,251.0,94.0,619.0,151.0
10,irrelevant,incl_ref_for_test,,widen_access_for_invocation,,,"Mostly changes tests, barely any prod code. Don't really get the prod changes here tho","incl_ref_for_test/widen_access_for_invocation getActivations used in junits. actually, extract_method_for_invocation",https://github.com/rsksmart/rskj/pull/1054/files?diff=split&w=1,Refactor for test,5,,4365.0,52.0,19.0,4261.0
11,irrelevant,irrelevant,,,,,Refactorings dont influence testability,,https://github.com/radixdlt/radixdlt-java/pull/64/files?diff=split&w=1,Network,9,,71.0,62.0,147.0,3.0
