,orig_pr_group,pr_group,orig_ref_pattern,ref_pattern,fauthor_comment,prod_file,test_location,comment,url,title_mask,java_files_count,Unnamed: 11
0,only_ref_for_test,only_ref_for_test,extract_class_for_override,extract_class_for_override,extract_class_for_override,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R68,Code from shutdownAndAwaitTermination extracted into ExecutorServiceUtils::gracefulShutdown and ExecutorServiceUtils class mocked in a unit-test,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,Refactor for test,4.0,Example
1,only_ref_for_test,only_ref_for_test,widen_access_for_invocation,widen_access_for_invocation,,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R74,getExecutorService made public to verify from junit,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,,,Example 2nd refactoring in the same PR
2,irrelevant,irrelevant,,,,,,Bug fix + new test case,https://github.com/web3j/web3j/pull/39/files?diff=split&w=1,Other,2.0,
3,irrelevant,irrelevant,,,,,,Code is extracted to new methods but rather for better overview and bug fixes than testability,https://github.com/census-instrumentation/opencensus-java/pull/1413/files?diff=split&w=1,Inject,4.0,
4,incl_ref_for_test,incl_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,https://github.com/apache/maven/pull/351/files#diff-47ee27138d1f3dc574d6b9bdb7e15ea07a541336a8bfda4aa050af4272cbf118R99,"Code is extracted into new methods, which additionally receive new unit tests",https://github.com/apache/maven/pull/351/files?diff=split&w=1,testability_body,3.0,
5,incl_ref_for_test,incl_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,"I missed it, but ProfileActivation can be seen as extract a data class.",maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,https://github.com/apache/maven/pull/351/files#diff-47ee27138d1f3dc574d6b9bdb7e15ea07a541336a8bfda4aa050af4272cbf118R95,Code is extracted into new classes to improve testability,https://github.com/apache/maven/pull/351/files?diff=split&w=1,testability_body,3.0,
6,irrelevant,irrelevant,,,,,,,https://github.com/UnionVMS/UVMS-AssetModule-APP/pull/565/files?diff=split&w=1,Other,3.0,
7,incl_ref_for_test,incl_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,I missed it. getFractionDescriptor is private and unit-tested,fraction-list/src/main/java/org/wildfly/swarm/fractionlist/FractionList.java,https://github.com/thorntail/thorntail/pull/145/files#diff-2d7ebe50a3246f4aaa1a638682a9454e5a7a5b49b3f206317710c880b42f7155R90,Bug fix + extraction of code into a new method for better testability,https://github.com/thorntail/thorntail/pull/145/files?diff=split&w=1,Dependency,2.0,
8,irrelevant,irrelevant,,,,,,Bug fix + additional unit test,https://github.com/rsksmart/rskj/pull/242/files?diff=split&w=1,Other,7.0,
9,only_ref_for_test,only_ref_for_test,create_constructor,create_constructor,"In absense of tests, I marked extract_method_for_invocation setSystemProperties",bootstrap/src/main/java/com/navercorp/pinpoint/bootstrap/PinpointBootStrap.java,none,Creation of a new constructor for testability,https://github.com/pinpoint-apm/pinpoint/pull/316/files?diff=split&w=1,testability_body,1.0,
10,incl_ref_for_test,incl_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,"I used extract_method_for_override, invocation is better",dependencies/src/main/java/com/google/cloud/tools/opensource/dependencies/RepositoryUtility.java,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/349/files#diff-7c09eed805ddb41c99b57feea50bf5d59b95d17815a84f6a3861452d9b571d04R40,New method that is multiple times used in the unit tests,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/349/files?diff=split&w=1,Other,5.0,
11,irrelevant,irrelevant,,,,,,Only added code,https://github.com/apache/commons-lang/pull/61/files?diff=split&w=1,Concurrency,2.0,
12,irrelevant,incl_ref_for_test,,widen_access_for_invocation,I marked cacheMonitor.cache as widen_access_for_invocation and it is used in junits,,,"Improvement, but not for testability",https://github.com/apache/druid/pull/2102/files?diff=split&w=1,Inject,2.0,
13,irrelevant,irrelevant,,,,,,Improved code + new unit test,https://github.com/Atmosphere/atmosphere/pull/1781/files?diff=split&w=1,Network,5.0,
14,irrelevant,irrelevant,,,,,,Improved code + new unit test,https://github.com/tomakehurst/wiremock/pull/577/files?diff=split&w=1,Inject,7.0,
15,irrelevant,irrelevant,,,,,,Improvement for bug fix,https://github.com/line/armeria/pull/1260/files?diff=split&w=1,Other,3.0,
