,orig_pr_group,pr_group,orig_ref_pattern,ref_pattern,prod_file,test_location,comment,fauthor_comment,url,title_mask,java_files_count
0,only_ref_for_test,only_ref_for_test,extract_class_for_override,extract_class_for_override,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R68,Code from shutdownAndAwaitTermination extracted into ExecutorServiceUtils::gracefulShutdown and ExecutorServiceUtils class mocked in a unit-test,Example,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,Refactor for test,4.0
1,only_ref_for_test,only_ref_for_test,widen_access_for_invocation,widen_access_for_invocation,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1#diff-d06231180a58579f8eedec31b2fa3cd65820a1dfb6917ac1be50cd1bb3cc7bf4R74,getExecutorService made public to verify from junit,,https://github.com/azkaban/azkaban/pull/1765/files?diff=split&w=1,,
2,irrelevant,irrelevant,,,,,only new code (apart from version change),Matched,https://github.com/microsoft/ApplicationInsights-Java/pull/816/files?diff=split&w=1,Refactor for test,3.0
3,irrelevant,irrelevant,,,,,new feature is added (cookie expiration handling) and test for new feature is created,Matched,https://github.com/intuit/karate/pull/1314/files?diff=split&w=1,Inject,4.0
4,irrelevant,irrelevant,,,,,only new code is added,Matched,https://github.com/micrometer-metrics/micrometer/pull/593/files?diff=split&w=1,Concurrency,4.0
5,incl_ref_for_test,incl_ref_for_test,add_constructor_param,add_constructor_param,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,https://github.com/apache/bookkeeper/pull/2333/files?diff=split&w=1#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R90,subcomponents of previous constructor parameter were added as parameters on their own to supply specific behaviour in test,I'd rather say it is incl_ref_for_test because checkCovered behaviour has changed and the title suggests behaviour change. ,https://github.com/apache/bookkeeper/pull/2333/files?diff=split&w=1,testability_body,9.0
6,incl_ref_for_test,incl_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,https://github.com/apache/bookkeeper/pull/2333/files?diff=split&w=1#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R104,attribute numResponsesPending exposed via method,I found one more pattern - numResponsesPending was exposed via getter and used in junit,https://github.com/apache/bookkeeper/pull/2333/files?diff=split&w=1,,
7,irrelevant,irrelevant,,,,,"BuildConfig* was changed to Profile* and along with this change two new classes (Profile and ProfileLoader) have been added, ProfileLoader has received its own test class","I'd rather use irrelevant: BuildConfigFileElement ->ProfileFileElement rename is irrelevant for testability and two new classes added, also covered by junits. ",https://github.com/square/wire/pull/619/files?diff=split&w=1,Inject,7.0
8,incl_ref_for_test,incl_ref_for_test,widen_access_for_invocation,widen_access_for_invocation,src/main/java/com/google/cloud/tools/appengine/cloudsdk/serialization/CloudSdkVersion.java,https://github.com/GoogleCloudPlatform/appengine-plugins-core/pull/676/files?diff=split&w=1#diff-4d3567e1759b83730c1736d6b8138f6a95d27c0e5612835cf3aee2bdaf81d0a1,"Access to major-, minor- and patchVersion was widened for test, some new functionality in constructor and compareTo method",I missed it,https://github.com/GoogleCloudPlatform/appengine-plugins-core/pull/676/files?diff=split&w=1,test,3.0
9,irrelevant,irrelevant,,,,,"Only minor functional changes, no changes to test classes",Matched,https://github.com/ankidroid/Anki-Android/pull/5054/files?diff=split&w=1,testability_body,3.0
10,incl_ref_for_test,incl_ref_for_test,extract_method_for_override,extract_method_for_override,heron/scheduler-core/src/java/com/twitter/heron/scheduler/RuntimeManagerMain.java,https://github.com/apache/incubator-heron/pull/694/files?file-filters%5B%5D=.java&w=1#diff-9e584d73f147296cc864a9a993a8bfbc8527e71c7d9b8e83b741c42a89605af0R110,The methods callRuntimeManagerRunner and getSchedulerClient have received a new parameter that is used in the test to insert dependencies,"pr_group belongs to the whole PR, so it is incl_ref_for_test for both. Other as pattern is fine, although I'd use extract_method_for_override",https://github.com/apache/incubator-heron/pull/694/files?diff=split&w=1,Refactor for test,4.0
11,incl_ref_for_test,incl_ref_for_test,create_constructor,create_constructor,heron/scheduler-core/src/java/com/twitter/heron/scheduler/SubmitterMain.java,https://github.com/apache/incubator-heron/pull/694/files?diff=split&w=1#diff-77f1245f023be9c064b1fcb1e3ceeb1ad11b0225e3cdc46f4e51cfd91fb2360fR53,The class SubmitterMain has received a public parameter that is used in the test to insert dependencies,Matched,https://github.com/apache/incubator-heron/pull/694/files?diff=split&w=1,,
12,irrelevant,irrelevant,,,,,Seemingly meaningless changes to parseProcess of JsonUtils plus some unconnected additional tests for the class,Matched,https://github.com/jmxtrans/jmxtrans/pull/406/files?diff=split&w=1,test,4.0
