,comment,testability_meaning,pr_group,ref_pattern,prod_file,prod_location,test_location,url,title
0,Context injected via setter and used in connectToEntitySystem,,only_ref_for_test,inject_dependency,engine/src/main/java/org/terasology/network/internal/NetworkSystemImpl.java,https://github.com/MovingBlocks/Terasology/pull/2908/files#diff-59999631129a3c96c3d1c22be9facbf311a273e03d0e0c1dd5fcb130d1724aaaR533,none,https://github.com/MovingBlocks/Terasology/pull/2908,alter some interfaces to support GameEngine testability
1,no obvious patterns.  SpongePropertyRegistry is not injectable anymore,,only_ref_for_test,other,src/main/java/org/spongepowered/common/registry/SpongeGameRegistry.java,https://github.com/SpongePowered/Sponge/pull/2278/files#diff-a810c897b751f33918d5c4a775e960a58e553930681ca5ad70b6ebc273118d5fR155,,https://github.com/SpongePowered/SpongeCommon/pull/2278,Overall Unit Testability with Schematics
2,,testability_annotation,irrelevant,irrelevant,,,,https://github.com/apache/groovy/pull/922,GROOVY-9065: Add support for @Testable annotation in JUnit5Runner
3,Timer enhanced to use Time abstraction instead of System time. potentially there are more non-obvious patterns.,,only_ref_for_test,override_system_time,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/internal/Timer.java,https://github.com/apache/storm/pull/1832/files#diff-f3e58393abd2a5ba9204691259681f15627a4fa13f8e6768d10b643592f1336fR69,https://github.com/apache/storm/pull/1832/files#diff-5ae901d49a5810abde1817d02bd1291f4b12a40dbaf66be9912d6e20c564f05cR137,https://github.com/apache/storm/pull/1832,STORM-2250: Kafka Spout Refactoring to Increase Modularity and Testability
4,coerce method extracted into UdfTemplate and tested,,only_ref_for_test,extract_class_for_invocation,ksql-engine/src/main/java/io/confluent/ksql/function/UdfTemplate.java,https://github.com/confluentinc/ksql/pull/2411/files#diff-4de34ceddbe504664c5675f89f23b49530fd5eddf72c0f00855b5b6ab204ba48R59,https://github.com/confluentinc/ksql/pull/2411/files#diff-21cf34b81f21de40f7ada537552712b6f832b3f91a0350022bd99cd0a1fb730eR47,https://github.com/confluentinc/ksql/pull/2411,Refactor code generation for better testability and extensibility
5,"socketProvider and clock injected, mocked in junits",,only_ref_for_test,add_constructor_param,metrics-graphite/src/main/java/com/yammer/metrics/reporting/GraphiteReporter.java,https://github.com/dropwizard/metrics/pull/116/files#diff-9b5c7f10753f38bb128d748a5f08caa20e0698eb28e2321026a98f6860d7823fR169,https://github.com/dropwizard/metrics/pull/116/files#diff-d9a09c3f1b53a8f756911eb0a400d67c59c687791c096cf626b1e2a1b4be74aaR26,https://github.com/dropwizard/metrics/pull/116,Made graphite reporter testable + added tests
6,"tests refactored, not the prod code",,irrelevant,irrelevant,,none,https://github.com/dropwizard/metrics/pull/122/files#diff-e18e34e5ea16d0734b0050946f698312005c1a9c4ae17eeb1937c4baef13e90cR28,https://github.com/dropwizard/metrics/pull/122,Make polling reporters testable and use the same approach when testing them
7,"BackendRegistry made an interface, not used in tests though",,only_ref_for_test,other,transport/transport-runtime/src/main/java/com/google/android/datatransport/runtime/backends/BackendRegistry.java,https://github.com/firebase/firebase-android-sdk/pull/347/files#diff-39e18cbcb3982887678c3984441a81c45d8f3b464d6c01942273d469fff9a8f7R19,none relevant,https://github.com/firebase/firebase-android-sdk/pull/347,Modularize dagger to improve future testability.
8,"mostly Kotlin, no obvious patterns",,only_ref_for_test,other,,,,https://github.com/jitsi/jitsi-videobridge/pull/1003,Testable config 2
9,testable in class name,testability_name,irrelevant,irrelevant,,,,https://github.com/spring-projects/spring-boot/pull/18559,Fix matchesNestedConfigurationClassWithoutTestMethodsIfItHasTestable()
10,UILifeCycle extracted from ApplicationContent and unit-tested,,only_ref_for_test,extract_class_for_invocation,hummingbird-client/src/main/java/com/vaadin/client/UILifecycle.java,https://github.com/vaadin/flow/pull/187/files#diff-fcfdf8a0d8139497d9e801eb8422b770dfee5ad2c171f38c7547568796815e48R30,https://github.com/vaadin/flow/pull/187/files#diff-b1b9a956bcb796bd5956454ff784307dd3404750dd8b72f6d619a8368ebe1503R12,https://github.com/vaadin/flow/pull/187,"Extract UI lifecycle methods to a separate, testable class"
