,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,comment,url,relevance,bodyTestableText,java_files_count.1,prod_file.1,test_file,title,is_title_testable,java_files_count.2,Unnamed: 19,test_java_files_count,files_count
0,,,they use reflection to access values from junits,irrelevant,irrelevant,4.0,,,,,https://github.com/checkstyle/checkstyle/pull/7035,relevant,expose FileContents.javadocComments through package-protected getter in order to make code testable;remove MainFrameModelPowerTest.testOpenFileWithUnknownParseMode because it tests a language construct;simplify overly complex TokenUtilTest.testTokenValueIncorrect2;;close #7033,,,,Issue #7033: Avoid Whitebox.setInternalState which is no longer supported in OpenJDK 12,False,4.0,,3.0,7.0
1,,,processRequest method extracted in two classes and invoked from a few junits,incl_ref_for_test,extract_method_for_invocation,8.0,src/main/java/com/android/volley/CacheDispatcher.java,https://github.com/google/volley/pull/172/files#diff-943e2214860e96cd058349ff05e2e9955d6a55ef132a987d42e7a159a0964b75R115,https://github.com/checkstyle/checkstyle/pull/7035/files#diff-b26323efdecdffba05ca1c130e5ec979ad1599014dd8d5710f54e3d072f1a483R255,,https://github.com/google/volley/pull/172,relevant,Light refactoring for testability and can delete some;of the hand-written mock classes.;,,,,Port dispatcher tests to mockito.,False,8.0,,6.0,8.0
2,,,determineProjectActivation extracted and unit-tested,incl_ref_for_test,extract_method_for_invocation,3.0,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,https://github.com/apache/maven/pull/351/files#diff-b8b814f5b6b3855ae79dc45a0266b94871193dcef42803c316e07409e94af35cR1469,https://github.com/apache/maven/pull/351/files#diff-47ee27138d1f3dc574d6b9bdb7e15ea07a541336a8bfda4aa050af4272cbf118R121,,https://github.com/apache/maven/pull/351,irrelevant,The method itself is not easily testable,,,,Refactor MavenCli.populateRequest,False,3.0,,1.0,3.0
3,,,determineProfileActivation extracted and unit-tested,incl_ref_for_test,extract_method_for_invocation,,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,https://github.com/apache/maven/pull/351/files#diff-b8b814f5b6b3855ae79dc45a0266b94871193dcef42803c316e07409e94af35cR1509,,,https://github.com/apache/maven/pull/351,,,,,,,,,,,
4,,,OpenHelper extracted into SchemaManager and unit-tested separately,only_ref_for_test,extract_class_for_invocation,27.0,transport/transport-runtime/src/main/java/com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore.java,https://github.com/firebase/firebase-android-sdk/pull/575/files#diff-9cc8c2cfff802d52de311a3a0cbcff1e8f40bd8beaef5e75897f737b90a00af5L67,https://github.com/firebase/firebase-android-sdk/pull/575/files#diff-c799b7bd21c787536ccf81dc711a82efa061f8dda1896b94af3bc2f2d641ba97R66,,https://github.com/firebase/firebase-android-sdk/pull/575,likely irrelevant,Queries are parameterized for testability in future PRs.;;;,,,,Making transport schemas more testable,True,27.0,,7.0,29.0
5,,,sanitiseConfiguration extracted from java into kotlin static method and unit-tested,only_ref_for_test,extract_method_for_invocation,1.0,bugsnag-android-core/src/main/java/com/bugsnag/android/Client.java,https://github.com/bugsnag/bugsnag-android/pull/682/files#diff-c952c857a72826421f5588f79a4f32113c19fb0860aa4f6571408dc6158d521aR132,https://github.com/bugsnag/bugsnag-android/pull/682/files#diff-ffea83a6d46d36db514a51cd675a8fea9b3779bb079d5739ba65427e26d32c01R159,,https://github.com/bugsnag/bugsnag-android/pull/682,relevant,"Goal;Extracts sanitisation code from Client to ImmutableConfig, which makes the deep-copy of the user-supplied Configuration more testable and reduces the responsibilities of Client.;",,,,Extract sanitisation of Configuration to ImmutableConfig.kt,False,1.0,,1.0,7.0
6,,,added constructor to use empty list of documents,incl_ref_for_test,add_constructor_param,3.0,src/main/java/com/pentaho/metaverse/locator/FileSystemLocator.java,https://github.com/pentaho/pentaho-metaverse/pull/59/files#diff-c8faacc71113591bfb906feb449c0e05a61f3f5e5a7317375440c5b496e17be7R62,https://github.com/pentaho/pentaho-metaverse/pull/59/files#diff-489c7ffaed85db00b3762c0b47a3d8dee070f95343789d1aa57647a68323659dR150,,https://github.com/pentaho/pentaho-metaverse/pull/59,relevant,"[PDI-10610] - Changing the integration test over to use the FileSystemLocator;Also, Minor modifications to FileSystemLocator to clean it up and make it more testable.",,,,[PDI-10610] - Changing the integration test over to use the FileSystemLocator,False,3.0,,2.0,4.0
7,,,,irrelevant,irrelevant,1.0,,,,,https://github.com/hawkular/hawkular-metrics/pull/7,irrelevant,"With testable=false, @RunAsClient is implied as no InContainer enrichment;is prepared.",,,,Use testable=false to avoid Package enrichment,True,1.0,,1.0,1.0
8,,,,irrelevant,irrelevant,14.0,,,,,https://github.com/thorntail/thorntail/pull/189,irrelevant,"Takes the same;testable=(true|false) argument, but if found, tries its best;to JFDI in constructing the deployment.  ",,,,SWARM-778 - Simplify @Deployment creation for ARQ tests,False,14.0,,5.0,21.0
9,,,large and I see no obvious patterns. ContentValues doesn't help,incl_ref_for_test,other,99.0,,,,,https://github.com/the-blue-alliance/the-blue-alliance-android/pull/778,relevant,"Data is no longer backed by an Android specific class (ContentValues), which should vastly improve testability;Easy way to integrate more database generated code with https://github.com/square/sqldelight;;",,,,Use Swagger-Generated Models,False,99.0,,0.0,100.0
