,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,url,title,is_title_testable,test_java_files_count,files_count,bodyTestableText
0,,"a rather large PR that improves testability. words MAKE, INSTANTIABLE, CONSTRUCTOR in title are useful.",,only_ref_for_test,add_constructor_param,28.0,sentry/src/main/java/io/sentry/config/Lookup.java,https://github.com/getsentry/sentry-java/pull/750/files#diff-e540d4ba78552139159d7f0b8ea38719b25f15b565dc607c08571a00ecce5bb5R69,https://github.com/getsentry/sentry-java/pull/750/files#diff-1612c08fc954eb2a580c1c3681d6952f57c92cbe8efa88f84c42bc44c2eb8e43R22,https://github.com/getsentry/sentry-java/pull/750,Make Lookup instantiatable with a default constructor retaining the original behavior,False,8.0,30.0,This should help with the testability of majority of other parts of the codebase because we can start introducing overloads accepting the new SentryConfiguration instance instead of statically calling Lookup (which implements the SentryConfiguration interface).;
1,,"it was hard to test before and AdvertState class has been extracted. title is useless. body contains useful words EXTRACT LOGIC, TESTABLE COMPONENT",,only_ref_for_test,extract_class_for_invocation,3.0,core/src/main/java/com/novoda/noplayer/internal/exoplayer/NoPlayerAdsLoader.java,https://github.com/novoda/no-player/pull/275/files#diff-1d873160dd5e3d7fab6c12b45a3a773a9e4d62f1ccfac86cc67edfb36a4ee615R96,https://github.com/novoda/no-player/pull/275/files#diff-3aa7e6732871e75f9b422fb31df58174ead408385eabb52b457f3fb01ccbdf78R64,https://github.com/novoda/no-player/pull/275,NO-272/Advert Tests,False,1.0,5.0,Solution;Extract logic related adverts to a more testable component AdvertState and add tests 😄;Paired with;Nobody.
2,,TODO: understand what they consolidated in tests,clockManager is not really injected,irrelevant,irrelevant,10.0,,,https://germania.diplo.de/ru-ru/aktuelles/-/2468418,https://github.com/folio-org/mod-circulation/pull/670,CIRC-844: Refund lost item fees when aged to lost item is renewed.,False,6.0,11.0,Consolidate age to lost check in and renewal refunding tests into a single class and just override the testable API.;;TODOS and Open Questions;;Learning;;Pre-Merge Checklist:;
3,testability_can_be_tested,testable via swagger means acceptance testing,,irrelevant,irrelevant,8.0,,,,https://github.com/ORCID/ORCID-Source/pull/2212,Citeproc,False,1.0,9.0,Testable via swagger.;
4,,"large decent PR with refactoring for testability. Useful words IMPROVING, REFACTORS, NON-TEST CODE",,only_ref_for_test,add_constructor_param,91.0,collect_app/src/main/java/org/odk/collect/android/widgets/AudioWidget.java,https://github.com/getodk/collect/pull/1485/files#diff-d662db166738ef071f4bfa5ce07a2ec3ad8eb82b64878751f776ab6fcb05b403R77,,https://github.com/getodk/collect/pull/1485,Widget tests.,False,51.0,91.0,"All of the changes to non-test code are only refactors related to improving testability, or fixing trivial errors like potential NPEs, dead code, etc."
5,,"TODO promising PR but large. useful words SEPARATE LOGIC, IMPROVE TESTABILITY","ThemeController extracted and injected in prod code, no tests though",irrelevant,irrelevant,21.0,app/src/main/scala/com/waz/zclient/controllers/ThemeController.scala,https://github.com/wireapp/wire-android/pull/947/files#diff-93661606f84d9a6da1bbf7ea56b89b813fd91561e5da22593da1be5614e5dabbR33,,https://github.com/wireapp/wire-android/pull/947,Experimental - [WIP] Preference using views,False,0.0,84.0,It uses a custom back stack to support back button and tries to separate logic from views in order to improve testability.;
6,,not TRIVIALLY testable = hard to QA,,irrelevant,irrelevant,1.0,,,,https://github.com/jenkinsci/jenkins-test-harness/pull/138,Avoid printing duplicated messages when LoggerRule is used,False,0.0,1.0,"Not trivially testable, but tried it interactively in jenkinsci/kubernetes-plugin#503 and it seemed to do the job."
7,,HELPING WITH maintenance and TESTABILITY. VMConfig class has been extracted.,,incl_ref_for_test,extract_class_for_invocation,19.0,rskj-core/src/main/java/org/ethereum/core/TransactionExecutor.java,https://github.com/rsksmart/rskj/pull/466/files#diff-0a85a5d76a914f023fa43c7433989e77d2c4eca44289ef7cfc0c0ffb87e4846aL248,https://github.com/rsksmart/rskj/pull/466/files#diff-248c3426195610f1af07390c8a491f7496cd6b1f9a97bb2a682adfb78e2f9c62R46,https://github.com/rsksmart/rskj/pull/466,Introduce a VmConfig class,False,11.0,19.0,"Basically, removes the RskSystemProperties object from Program and VM, helping with maintenance and testability.;;"
8,,BETTER DEPENDENCY INJECTION for INCREASED TESTABILITY. Testability improved somewhere around Transaction class?,cacheProvider injected and ruleCache/etc. provided,incl_ref_for_test,add_constructor_param,40.0,server/src/server/session/TransactionOLTP.java,https://github.com/vaticle/typedb/pull/5434/files#diff-6ce47af7f4b529cf75ec3e113e62c048689e49bf9f2c9123ee55007f84f8d099R154,none relevant,https://github.com/graknlabs/grakn/pull/5434,"Transaction, Concept, Element refactor",False,5.0,41.0,"This reduces Concept classes to be simpler wrappers;;Technical changes:;;new classes ElementUtils, ConceptManager, ConceptObserver, CacheProvider;Reogranisation of responsibilities between Concepts, Transactions, and ConceptManager;Better dependency injection for increased testability in Transaction and other places;Concepts are simple constructors rather than separate get() and create() methods;`CacheManager centralises creation, retrieval and building of concepts;CacheObserver centralises all cache and statistics updates"
9,,MAKE MORE UNIT-TESTABLE,,incl_ref_for_test,add_constructor_param,21.0,connection-loader/src/main/java/com/terracotta/connection/api/AbstractConnectionService.java,https://github.com/Terracotta-OSS/terracotta-core/pull/813/files#diff-69d3f71c1cbd6f45e2f670d18ec9378b59e2e3a64c2813cb535fc30cb35239ddR30,https://github.com/Terracotta-OSS/terracotta-core/pull/813/files#diff-526de462b1855adc4bf06d7c5fe7d49af519255652173ecda3298a8a6b971e9eR42,https://github.com/Terracotta-OSS/terracotta-core/pull/813,Add ClientBuilderFactory interface,False,6.0,22.0,"Refactored some code around AbstractConnectionService to reuse code and make more unit-testable;;;Had to move Diagnostics entity code to dso-l1 as part of this change, hope that is not a problem"
