period,pr_group,ref_pattern,reviewer,test_location,url
January,incl_ref_for_test,other,Reviewer3,https://github.com/palantir/atlasdb/pull/4878/files#diff-4c0549920c59029b23d72664074adfe7e8983a978958533cacf276b759d4eb3fR47,https://github.com/palantir/atlasdb/pull/4878
January,irrelevant,irrelevant,Reviewer3,,https://github.com/jcabi/jcabi-http/pull/118
January,irrelevant,irrelevant,Reviewer3,,https://github.com/tomakehurst/wiremock/pull/1005
January,irrelevant,irrelevant,Reviewer3,,https://github.com/PegaSysEng/pantheon/pull/1284
January,irrelevant,irrelevant,Reviewer3,https://github.com/line/armeria/pull/964/files#diff-a063dc5a44bc921f5226f4597ab04f90ca8ae154d1d5a1b1fac030bfe97dbf93R57,https://github.com/line/armeria/pull/964
January,incl_ref_for_test,other,Reviewer3,https://github.com/linkedin/ambry/pull/242/files#diff-554d944f3bc88157f7137df89a51895f3fbfb1165038fa279f904e4fe0485c9aR75,https://github.com/linkedin/ambry/pull/242
January,incl_ref_for_test,add_constructor_param,Reviewer3,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1445/files#diff-a996943049d7074bf2ef1dd04436c11de90418fc3e4de8457e051624dc30132cR78,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/1445
January,irrelevant,irrelevant,Reviewer3,https://github.com/codice/ddf/pull/726/files#diff-c00a10eecd79a850a24d22a1bbc1d3cdcbaef35d78e349345309b521c3383437R123,https://github.com/codice/ddf/pull/726
January,irrelevant,irrelevant,Reviewer2,,https://github.com/jaegertracing/jaeger-client-java/pull/694
January,irrelevant,irrelevant,Reviewer2,,https://github.com/neo4j-contrib/neo4j-graph-algorithms/pull/173
January,irrelevant,irrelevant,Reviewer2,https://github.com/Netflix/Hystrix/pull/1039/files#diff-871e3841ba74f85c142d4cf22f3040dc3f2fc82dc32ca3c37ca784506461e247R57,https://github.com/Netflix/Hystrix/pull/1039
January,irrelevant,irrelevant,Reviewer2,,https://github.com/facebook/rocksdb/pull/1167
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/kafka/pull/4382
January,irrelevant,irrelevant,Reviewer2,,https://github.com/pentaho/pentaho-metaverse/pull/15
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/rocketmq/pull/220
January,irrelevant,irrelevant,Reviewer2,,https://github.com/grpc/grpc-java/pull/386
January,irrelevant,irrelevant,Reviewer2,,https://github.com/apache/bookkeeper/pull/1607
January,irrelevant,irrelevant,Reviewer2,,https://github.com/quarkusio/quarkus/pull/8676
